batter_id,season,player_name,n_pitches,n_swings,n_bbe,n_barrels,avg_launch_speed,avg_launch_angle,avg_bat_speed,avg_swing_length,n_pa,swing_pct,barrel_pct_bbe,barrel_pct_swing,woba
663586,2024,"Riley, Austin",1824,913,309,46,85.5644262295082,19.646481178396073,73.13096385542168,7.404698795180723,470,0.5005482456140351,0.1488673139158576,0.050383351588170866,0.338
663586,2025,"Riley, Austin",1797,913,289,42,84.64288052373159,20.691176470588236,73.99052987598648,7.446223224351748,447,0.5080690038953812,0.1453287197231834,0.04600219058050383,0.318
663624,2023,"Mountcastle, Ryan",1749,954,323,37,83.96913580246914,18.066358024691358,75.295,7.307368421052632,471,0.5454545454545454,0.11455108359133127,0.03878406708595388,0.333
663624,2024,"Mountcastle, Ryan",1904,1067,365,31,83.29801587301587,18.35006605019815,73.56288032454361,7.413387423935092,507,0.5603991596638656,0.08493150684931507,0.029053420805998126,0.316
663624,2025,"Mountcastle, Ryan",1355,778,240,28,83.44424603174603,16.041666666666668,73.48855263157895,7.430131578947368,357,0.574169741697417,0.11666666666666667,0.03598971722365039,0.284
663647,2023,"Hayes, Ke'Bryan",1938,879,393,28,85.41704718417047,18.103343465045594,71.05693641618497,6.848554913294797,526,0.4535603715170279,0.07124681933842239,0.03185437997724687,0.324
663647,2024,"Hayes, Ke'Bryan",1474,658,294,5,83.228125,14.392233009708738,70.43152542372881,6.756101694915254,396,0.44640434192673,0.017006802721088437,0.007598784194528876,0.256
663647,2025,"Hayes, Ke'Bryan",2158,950,418,17,83.88931082981716,17.650771388499297,69.4236442516269,6.658893709327549,570,0.4402224281742354,0.04066985645933014,0.017894736842105262,0.266
663656,2023,"Tucker, Kyle",2606,1208,492,54,83.87210810810811,19.72246220302376,69.49700374531835,7.441573033707866,674,0.4635456638526477,0.10975609756097561,0.04470198675496689,0.372
663656,2024,"Tucker, Kyle",1362,564,225,29,84.12776470588236,21.143529411764707,69.7088,7.4041999999999994,339,0.41409691629955947,0.1288888888888889,0.051418439716312055,0.419
663656,2025,"Tucker, Kyle",2335,1042,416,40,83.65539845758354,16.068123393316196,69.59650145772595,7.444509232264334,597,0.4462526766595289,0.09615384615384616,0.03838771593090211,0.363
663697,2023,"India, Jonathan",2208,851,352,27,83.18093699515347,16.233494363929147,69.4983870967742,7.249462365591398,531,0.3854166666666667,0.07670454545454546,0.03172737955346651,0.327
663697,2024,"India, Jonathan",2653,1017,417,30,81.86953125000001,17.26397919375813,69.36688382193269,7.126818675352878,637,0.3833396155295891,0.07194244604316546,0.029498525073746312,0.333
663697,2025,"India, Jonathan",2360,950,394,27,82.39830985915493,20.45505617977528,69.27675675675675,7.217837837837838,567,0.4025423728813559,0.06852791878172589,0.028421052631578948,0.301
663728,2023,"Raleigh, Cal",2345,1162,356,57,83.74856020942408,22.67408376963351,73.37870036101083,7.765884476534296,570,0.4955223880597015,0.1601123595505618,0.04905335628227195,0.326
663728,2024,"Raleigh, Cal",2531,1315,376,73,84.64939903846154,22.396634615384617,72.82459415584415,7.696347402597402,628,0.5195574871592256,0.19414893617021275,0.05551330798479087,0.323
663728,2025,"Raleigh, Cal",2895,1465,411,98,85.52161572052403,26.306768558951966,73.06416022487703,7.839775122979621,706,0.5060449050086355,0.2384428223844282,0.06689419795221843,0.392
663757,2023,"Grisham, Trent",2344,973,320,38,83.23968253968253,20.90174326465927,68.34668587896253,7.4890489913544664,555,0.4151023890784983,0.11875,0.03905447070914697,0.299
663757,2024,"Grisham, Trent",857,318,125,17,84.4771689497717,22.977272727272727,67.50594059405941,7.518151815181518,209,0.3710618436406068,0.136,0.05345911949685535,0.295
663757,2025,"Grisham, Trent",2394,930,358,55,84.74723076923077,21.130769230769232,68.66422222222222,7.477555555555556,582,0.38847117794486213,0.15363128491620112,0.05913978494623656,0.353
663886,2023,"Stephenson, Tyler",2056,872,331,23,84.42722602739725,12.996575342465754,68.86678445229681,7.387985865724382,518,0.42412451361867703,0.06948640483383686,0.026376146788990827,0.305
663886,2024,"Stephenson, Tyler",1956,842,342,29,84.2384116693679,15.40032414910859,68.71567164179105,7.353731343283582,516,0.43047034764826175,0.0847953216374269,0.0344418052256532,0.339
663886,2025,"Stephenson, Tyler",1393,605,187,27,83.95038961038962,19.997402597402598,67.94957555178269,7.313921901528013,342,0.43431442928930364,0.1443850267379679,0.04462809917355372,0.319
663898,2023,"Rodgers, Brendan",696,335,137,13,82.5459574468085,11.364406779661017,69.85664556962026,7.025949367088607,194,0.4813218390804598,0.0948905109489051,0.03880597014925373,0.307
663898,2024,"Rodgers, Brendan",2084,1025,372,21,82.40294530154279,12.176223776223777,69.61346801346801,7.046240179573513,539,0.4918426103646833,0.056451612903225805,0.02048780487804878,0.314
663898,2025,"Rodgers, Brendan",487,230,70,9,82.32898550724637,16.152173913043477,72.31769911504425,7.275663716814159,128,0.4722792607802875,0.12857142857142856,0.0391304347826087,0.246
663993,2023,"Lowe, Nathaniel",3056,1333,461,31,83.23505976095618,15.425298804780876,72.62959001782531,7.275757575757575,724,0.4361910994764398,0.06724511930585683,0.023255813953488372,0.34
663993,2024,"Lowe, Nathaniel",2361,1007,365,24,82.96596026490067,15.339498018494055,71.66810431293882,7.1921765295887665,568,0.4265141889030072,0.06575342465753424,0.023833167825223437,0.337
663993,2025,"Lowe, Nathaniel",2617,1164,386,32,82.90435323383085,20.53855721393035,71.04951965065501,7.18768558951965,610,0.44478410393580436,0.08290155440414508,0.027491408934707903,0.301
664023,2023,"Happ, Ian",2873,1272,433,43,83.41160714285715,18.1917502787068,69.99328214971209,6.7827255278310945,693,0.44274277758440655,0.09930715935334873,0.03380503144654088,0.345
664023,2024,"Happ, Ian",2728,1249,403,48,83.45964497041419,19.962130177514794,70.56725738396624,6.870042194092827,660,0.45784457478005863,0.11910669975186104,0.03843074459567654,0.341
664023,2025,"Happ, Ian",2727,1181,423,53,83.36071856287425,21.099282296650717,69.95429314830876,6.80745880312229,663,0.4330766409974331,0.12529550827423167,0.04487722269263336,0.333
664034,2023,"France, Ty",2429,1290,471,31,81.46302521008404,15.913865546218487,70.0992523364486,7.7487850467289725,666,0.531082750102923,0.06581740976645435,0.024031007751937984,0.315
664034,2024,"France, Ty",2030,1038,370,28,83.5628,18.006666666666668,69.315329218107,7.492181069958847,536,0.5113300492610837,0.07567567567567568,0.02697495183044316,0.296
664034,2025,"France, Ty",1877,971,364,27,83.26215083798883,16.7966573816156,69.21888185654008,7.3435654008438815,492,0.5173148641449121,0.07417582417582418,0.027806385169927908,0.302
664056,2023,"Bader, Harrison",1242,601,265,18,80.73026004728133,20.8628841607565,68.92097902097903,7.101398601398602,345,0.48389694041867953,0.06792452830188679,0.029950083194675542,0.271
664056,2024,"Bader, Harrison",1653,767,313,22,81.66306306306306,17.675675675675677,69.17223001402525,6.971669004207574,437,0.46400483968542044,0.07028753993610223,0.028683181225554105,0.285
664056,2025,"Bader, Harrison",1942,929,315,33,82.05504885993486,18.056818181818183,71.64377031419285,7.057963163596966,503,0.4783728115345005,0.10476190476190476,0.03552206673842842,0.346
664761,2023,"Bohm, Alec",2261,1122,470,26,82.73542141230068,18.74061433447099,70.72205323193917,7.361977186311787,612,0.49624060150375937,0.05531914893617021,0.023172905525846704,0.329
